publishDate,eventDate,time,location,money,column
1999-12-26,Dec 20,6:50,visionaire gallery,,"Dec 20: Visionaire magazine held a party to preview toys by eight European designers, which will be on display at the Visionaire Gallery in SoHo through Jan 22 Toy sales through a silent auction will benefit Studio in a School, which brings arts into the schools. 6:50: CECILIA DEAN being pushed by JAMES KALIARDOS in Chanel's adult stroller. 6:55: STEPHEN GAN holding one of three Missoni teddy bears. 8: DOVANNA PAGOWSKI and her daughter, KAMILA, looking at Fendi's mink giraffe. Hermes rocking horse bag. 7:50: From left, JO CAROLE LAUDER, THOMAS CAHILL and AGNES GUND.;"
1999-12-26,Dec 13,,brown's on east 61st street,,"Dec 13: Fifteen men in fashion held a shower to find the perfect fashion godparent for Constance C. R. White's baby, expected in January. The party for Ms. White, a writer at Talk magazine, was held at Brown's on East 61st Street. Bottom row, from left, MICHAEL LEVA, JOHN ROBERT MILLER, LLOYD BOSTON, and EDWARD WILKERSON. Top row, from left, ALVIN BELL, DAVID JOHNSON, CONSTANCE C. R. WHITE, BYL JOHNSON and KEVIN HALL.;"
1999-12-26,Dec 15,9:15,the new york city opera,,"Dec 15: The New York City Opera and Scott Greenstein, chairman of USA Films, invited guests to a preview of the new Mike Leigh film ''Topsy-Turvy'' about Gilbert and Sullivan. A dinner at Le Cirque 2000 followed the film. 9:15: MIKE LEIGH, right, with NATHAN LANE. 9:10: JOHN PATRICK SHANLEY and his guest.;"
1999-12-26,Dec 11,10:25,racquet and tennis club,,"Dec 11: Boys Harbor held its annual dance at the Racquet and Tennis Club. A youth service agency, Boys Harbor was founded 61 years ago by Tony Duke as a summer camp in the Hamptons for inner-city youths. It now has a year-round center at 1 East 104th Street, which includes a nursery and preschool and offers drug and alcohol prevention programs and computer training for young adults. From top, 10:25: MINA SAMUELS; 10:15: RAYMOND DUGGAN and his wife, ODETTE; 10:05: AL CHINAPPI and SUE WATERBURY; 10:35: TAMMY HESSE and SCOTT A. MAGER; 10:20: LISA M. STENSON and PHILLIP T. ROLLOCK; and 10:10: from left, ELIZABETH CASE, CHARLIE KOONS, LAUREN McCANN and KELLY MEAD. There were 800 guests.;"
1999-12-26,Dec 22,7:20,waldorf-astoria,,"Dec 22: New York University Downtown Hospital benefited handsomely from the 64th Debutante Cotillion and Christmas Ball held at the Waldorf-Astoria. Thirty-two young women wearing white dresses and carrying bouquets bowed to 1,000 guests who filled the ballroom. The curtain came down on private debutante parties for one or two girls after World War II. One of the last of these balls was Brenda Frazier's 1938 debut at the old Ritz Hotel on Madison Avenue, which drew 1,000 guests. Clockwise, from top left, 7:20: from left, PATRICIA HEARST, her debutante daughter, GILLIAN HEARST-SHAW, BERNARD SHAW and LYDIA HEARST-SHAW; 9:05: ALLEGRA LAVIOLA PAGEL and NICHOLAS LITHGOW; 7:40: CAMILLA A. BUNN, left, and LINDSEY F. WHEAT; 8:05: ANDREA P. NADOSY; 7:15: GEORGIA S. TAPERT; 9: waltzing after the presentation, from left, AUBIN DUPREE and LILA L. S. DUPREE and TATIANA A. JITKOFF and BLAISE DURAN; 9:10: MERRILL HANLEY and DAVID NETTO; 8: NINA NIVENS, seated, and PRISCILLA FRASER; 8:55: MARY DAILEY PATTEE. (Photographs by BILL CUNNINGHAM/The New York Times)"
2000-01-02,Jun 8,7:40,69th regiment armory,$6.6 million,"Jun 8: The Robin Hood Foundation, which invests money to feed the poor, gave a dinner-dance, auction and concert at the 69th Regiment Armory for 1,840 guests, raising a sizable $6.6 million. The event was also unusual for its informality, with many of the male guests arriving straight from their offices in business suits and eventually doffing their jackets. ABOVE 7:40: From left, MUHAMMAD ALI; PAUL TUDOR JONES II, the group's founder; and ISAAC HAYES. 9:10: DAVID SALTZMAN, the executive director, with JOHN F. KENNEDY JR., a board member for many years, who died the next month. In early December, the group remembered him at its annual breakfast, at which awards for philanthropic work were renamed in his honor."
2000-01-16,Jan 10,8:50,the new york city opera,,"Jan 10: The New York City Opera held ''New Faces of 1711,'' an evening of Baroque music performed by young artists, at the New York State Theater, followed by dinner on the Grand Promenade, decorated by Avi Adler. Ten violinists from Peter Duchin's Orchestra played waltzes for a half-hour before guests sat down. Clockwise from top left, 8:50: FRANCES and CLAUDINE BELMONT. 9:10: CONSTANTINE SIDAMON-ERISTOFF and his daughter, ELIZABETH. 9:07: LORRY NEWHOUSE. 9:15: ELEANOR and EUGENE GOLDBERG. 9: PAUL KELLOGG, the opera's general director, and YUNG HEE KIM. 8:55: MAISIE HOUGHTON, far left, and CATHERINE CAHILL.; 6:25: Two medal recipients, GEORGE C. WHITE, left, and JOSEPH V. MELILLO, with COLLEEN JENNINGS-ROGGENSACK.;"
2000-01-16,Jan 10,6:45,joyce theater,,"Jan 10: The Cultural Services of the French Embassy conferred the Order of Arts and Letters.; 6:45: LINDA SHELTON, the executive of the Joyce Theater Foundation, just after PIERRE BUHLER, the cultural counselor, had pinned on her medal.; 6:30: TRISHA BROWN, the choreographer, and STEVE REICH, the composer, were recipients; right, AGNES GUND, president of the Museum of Modern Art.;"
2000-01-16,Jan 12,10:55,hermitage museum,,"Jan 12: American Friends of the Hermitage Museum celebrated with a five-course Russian New Year's feast at -- where else? -- the Russian Tea Room.; 10:55: Archduke GEZA VON HABSBURG and KATE BROOKS.; 10:25: VLADIMIR and TATIANA GALITZINE.; LEV OBOLENSKY and his daughter, ALEXANDRA.;"
2000-01-16,Jan 12,6:45,waldorf-astoria,,"Jan 12: The New York Academy of Medicine held an awards dinner at the Waldorf-Astoria.; 6:45: Two honored guests, Dr. HENRY A. McKINNELL, left, the president of Pfizer, and ROBERT B. SHAPIRO, right, the chairman of Monsanto, with Dr. JEREMIAH A. BARONDESS, the president of the academy.; ROSA M. GIL, left, the chairwoman of the Health and Hospitals Corporation, with JOEY BREZENOFF and her husband, STANLEY BREZENOFF, the academy's chairman.;"
